Picture,color.jpg,color_p_img1_1.jpg,color_p_img2_1.jpg,color_p_img3_1.jpg,color_p_img4_1.jpg,color_p_img5_1.jpg,color_p_img6_1.jpg,color_p_img7_1.jpg,color_p_img8_1.jpg,image3.jpg,image3_p_img1_1.jpg,image3_p_img2_1.jpg,image3_p_img3_1.jpg,image3_p_img4_1.jpg,image3_p_img5_1.jpg,image3_p_img6_1.jpg,image3_p_img7_1.jpg,image3_p_img8_1.jpg,image4.jpg,image4_p_img1_1.jpg,image4_p_img2_1.jpg,image4_p_img3_1.jpg,image4_p_img4_1.jpg,image4_p_img5_1.jpg,image4_p_img6_1.jpg,image4_p_img7_1.jpg,image4_p_img8_1.jpg,image5.jpg,image5_p_img1_1.jpg,image5_p_img2_1.jpg,image5_p_img3_1.jpg,image5_p_img4_1.jpg,image5_p_img5_1.jpg,image5_p_img6_1.jpg,image5_p_img7_1.jpg,image5_p_img8_1.jpg,map_p_img1_1.jpg,map_p_img2_1.jpg,map_p_img3_1.jpg,map_p_img4_1.jpg,map_p_img5_1.jpg,map_p_img6_1.jpg,map_p_img7_1.jpg,map_p_img8_1.jpg
10,0.745,0.103,0.095,0.097,0.169,0.105,0.115,0.282,0.289,2.34,0.161,0.299,0.333,0.321,0.406,0.378,0.573,0.459,3.02,0.156,0.398,0.307,0.285,0.335,0.347,0.301,0.407,10.74,0.394,0.381,0.47,0.668,0.942,0.952,1.18,1.49,0.786,0.908,1.05,1.33,2.28,1.69,2.4,5.5
5,1.18,0.108,0.1,0.167,0.179,0.174,0.14,0.273,0.266,3.24,0.246,0.324,0.41,0.399,0.56,0.567,0.703,0.745,4.81,0.263,0.339,0.429,0.489,0.479,0.564,0.579,0.647,16.62,0.656,0.748,0.841,1.08,1.78,1.76,2.1,2.63,1.38,1.44,1.58,2.12,3.54,3.22,4.21,5.22
3,1.93,0.12,0.112,0.207,0.191,0.236,0.169,0.288,0.659,5.43,0.403,0.384,0.467,0.58,0.892,0.898,1.13,1.23,7.9,0.246,0.327,0.397,0.506,0.717,0.771,0.939,0.94,27.58,0.996,1.14,1.42,1.66,2.92,2.8,3.44,4.21,2.16,2.38,2.66,3.28,5.91,5.33,6.84,8.52
1,5.63,0.155,0.274,0.35,0.248,0.647,0.353,0.557,0.495,15.93,0.848,0.95,1.39,1.68,2.53,2.5,2.92,3.38,23.77,0.703,0.785,1.12,1.4,1.99,1.99,2.39,2.68,84,2.8,3.17,3.85,4.97,8.54,8.1,10.2,12.44,6.2,6.66,7.77,9.3,17.36,15.54,20.01,24.77
0.5,11.19,0.312,0.304,0.365,0.44,0.777,1.01,0.862,0.999,31.56,1.88,1.88,2.44,3.25,4.97,5.16,5.84,6.62,46.62,1.16,1.53,2,2.55,3.98,4.11,4.6,5.27,162,5.38,6.03,7.42,9.63,17.02,15.91,20.22,24.64,12.21,12.37,15.2,18.49,34.53,30.99,39.84,49.4
0.25,22.07,0.4,0.565,0.604,0.915,1.28,1.27,1.55,1.64,66,3.01,3.67,4.65,6.27,9.95,9.76,11.65,13.14,96,2.33,2.99,3.89,5.18,7.71,7.7,9.05,10.41,330,10.57,12.1,14.83,19.17,33.67,31.73,40.25,49.16,24.21,26.47,30.28,36.85,66,60,78,96
0.125,44.12,0.753,0.872,1.18,1.63,2.45,2.34,2.9,3.21,126,5.57,7,9.31,13.4,19.59,19.41,22.96,26.23,186,4.47,5.88,7.69,10.06,15.29,15.44,17.95,20.83,654,21,23.93,29.48,38.03,66,66,78,96,48.33,52.69,60,72,138,120,176,198
